kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd
kmer120	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22694	304.284727619696	NA	NA	22694	0.47401042522551	NA	NA
kmer1200	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22090	304.284727619696	NA	NA	22090	0.47401042522551	NA	NA
kmer1201	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23987	304.284727619696	NA	NA	23987	0.47401042522551	NA	NA
kmer1202	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	21919	0.212755238195914	NA	NA	21919	0.47401042522551
kmer1203	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25240	304.284727619696	NA	NA	25240	0.47401042522551	NA	NA
kmer1204	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24729	304.284727619696	NA	NA	24729	0.47401042522551
kmer1205	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25131	304.284727619696	NA	NA	25131	0.47401042522551
kmer1206	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	23810	304.284727619696	NA	NA	23810	0.47401042522551
kmer1207	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	23513	304.284727619696	NA	NA	23513	0.47401042522551
kmer1208	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24029	304.284727619696	NA	NA	24029	0.47401042522551	NA	NA
kmer1209	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	21754	0.212755238195914	NA	NA	21754	0.47401042522551
kmer121	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23995	304.284727619696	NA	NA	23995	0.47401042522551	NA	NA
kmer1210	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23259	304.284727619696	NA	NA	23259	0.47401042522551	NA	NA
kmer1211	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	21538	0.212755238195914	NA	NA	21538	0.47401042522551
kmer1212	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24552	304.284727619696	NA	NA	24552	0.47401042522551	NA	NA
kmer1213	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22813	304.284727619696	NA	NA	22813	0.47401042522551	NA	NA
kmer1214	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25059	304.284727619696	NA	NA	25059	0.47401042522551	NA	NA
kmer1215	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26745	304.285809291802	NA	NA	26745	0.47401042522551
kmer1216	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25942	304.285809291802	NA	NA	25942	0.47401042522551	NA	NA
kmer1217	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	23784	304.284727619696	NA	NA	23784	0.47401042522551
kmer1218	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24192	304.284727619696	NA	NA	24192	0.47401042522551
kmer1219	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	23901	304.284727619696	NA	NA	23901	0.47401042522551
kmer122	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23722	304.284727619696	NA	NA	23722	0.47401042522551	NA	NA
kmer1220	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	23136	304.284727619696	NA	NA	23136	0.47401042522551
kmer1221	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24822	304.284727619696	NA	NA	24822	0.47401042522551	NA	NA
kmer1222	intactk_noN	NA	299	169	0.723	0.277	0.485	0.515	219	84	80	85	991673	22884.2701895776	3083801	55332.5551871579	991675.5	16857.4496380117	3062834	9128.92215550601
